model,Application Usage,Database,Infrastructure,Networking,Security
autoarima,0.757,0.734,0.679,0.795,0.757
autoets,1.423,1.604,4.563,2.067,0.878
autotheta,1.019,1.032,0.963,1.105,0.991
chronos_2,0.387,0.381,0.423,0.416,0.467
chronos_bolt_base,0.451,0.441,0.466,0.489,0.535
chronos_bolt_small,0.452,0.444,0.474,0.506,0.539
moirai_1.1_base,0.422,0.414,0.446,0.484,0.504
moirai_1.1_large,0.43,0.418,0.462,0.484,0.504
moirai_1.1_small,0.438,0.425,0.462,0.503,0.507
moirai_2_small,0.432,0.427,0.42,0.487,0.508
seasonalnaive,1.0,1.0,1.0,1.0,1.0
time_moe_200M,0.611,0.633,0.71,0.739,0.629
time_moe_50M,0.633,0.618,0.713,0.721,0.625
timer,0.636,0.619,0.655,0.725,0.664
timesfm_2_0_500m,0.441,0.44,0.471,0.493,0.525
timesfm_2_5_200m,0.384,0.372,0.397,0.408,0.476
toto,0.378,0.362,0.391,0.4,0.476
toto_2.0_1b,0.352,0.336,0.363,0.379,0.455
toto_2.0_2.5b,0.352,0.336,0.362,0.379,0.452
toto_2.0_22m,0.366,0.348,0.375,0.391,0.462
toto_2.0_313m,0.354,0.339,0.365,0.383,0.454
toto_2.0_4m,0.382,0.361,0.389,0.406,0.473
visionts,0.692,0.637,0.663,0.736,0.735
