model,MASE-6750-scaled,CRPS-6750-scaled,Rank-6750-scaled,eval_metrics/MAE[0.5]-663-unscaled,CRPS-663-unscaled,Rank-663-unscaled
toto_2.0_2.5b,0.581,0.349,3.876,0.0,0.001,4.528
toto_2.0_1b,0.582,0.349,3.964,0.0,0.001,7.074
toto_2.0_313m,0.585,0.351,4.258,0.0,0.001,6.062
toto_2.0_22m,0.601,0.363,5.525,0.0,0.001,8.644
toto,0.617,0.375,6.939,0.001,0.025,14.49
toto_2.0_4m,0.624,0.377,7.173,0.0,0.001,5.934
chronos_2,0.641,0.392,7.39,0.0,0.002,12.351
timesfm_2_5_200m,0.632,0.382,7.702,0.0,0.001,8.64
moirai_1.1_base,0.71,0.428,10.395,0.0,0.003,12.468
moirai_1.1_large,0.72,0.436,10.743,0.001,0.005,13.804
moirai_1.1_small,0.729,0.442,11.244,0.0,0.006,14.306
moirai_2_small,0.672,0.427,11.286,0.001,0.002,12.968
timesfm_2_0_500m,0.725,0.447,11.907,0.014,0.091,17.94
chronos_bolt_base,0.726,0.451,12.339,0.003,0.019,15.522
chronos_bolt_small,0.733,0.455,12.74,0.003,0.022,15.652
autoarima,0.824,0.736,17.14,0.0,0.001,6.825
time_moe_50M,0.806,0.649,17.522,0.001,0.005,13.08
time_moe_200M,0.881,0.643,17.538,0.0,0.005,15.498
timer,0.796,0.639,17.59,0.001,0.005,11.463
visionts,0.988,0.673,18.725,0.001,0.009,16.599
autoets,0.842,1.975,19.352,0.0,0.03,13.422
autotheta,1.123,1.018,20.235,0.001,0.002,11.753
seasonalnaive,1.0,1.0,20.418,0.0,0.006,16.979
